company_name,sector,funding_total_usd,target
10 Minutes With,Education,4400000,1
100e.com,Education,4500000,1
115 network disks,EdTech|Education,-,1
1234ENTER,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,650267,1
17zuoye,Education|Language Learning,135000000,1
1calendar,Advertising|Education|Internet|Mobile,40000,1
20lines,Curated Web|Education|Parenting|Publishing,1236454,1
24x7 Learning,EdTech|Education|Systems,4000000,1
2U Inc.,EdTech|Education|Software,95875000,1
360Learning,Communities|Corporate Training|Education,1543920,1
4Soils,Apps|Education|Kids|Religion,50000,1
51edu,Education,-,1
51Talk,Education,65100000,1
5min Media,Education|Games|Video,12800000,1
6APT,EdTech|Education,-,1
8villages,Analytics|Apps|Big Data|E-Commerce|Education|Enterprise Software|Internet of Things|Media|Mobile|Payments|SaaS|Social Media,150000,1
ABA English,EdTech|Education,3356695,1
Abril,Advertising|Digital Media|Education|Media|News|Publishing,422000000,1
Abroad101,Education,50000,1
Absolutely Training,Education,451198.382904996,1
Academia,Curated Web|EdTech|Education|Information Technology|Language Learning,11017508,1
Academic Earth,EdTech|Education|Video,-,1
AcademixDirect,Advertising|Education|Lead Generation|Portals,10000000,1
Academize,Cloud Computing|Collaboration|Education|Social Media,-,1
Academy123,Education,2000000,1
Acamica,EdTech|Education|Entrepreneur|Technology,142367,1
Accella Learning,EdTech|Education|Software,-,1
Accredible,Colleges|Education|Recruiting,150000,1
Ace Learning Company,Education|SaaS|Services,-,1
Aceable,Education|Mobile Commerce|Technical Continuing Education,4700000,1
Acelero Learning,Education|Online Education|Services,4000000,1
Achieved.co,Career Management|Education|Human Resources,100000,1
Acrobatiq,EdTech|Education,9750000,1
Actived,Education,741537,1
Actively Learn,Education,1029954,1
ActivityHero,Education,2200000,1
Adan,Education|Software,-,1
Adelja Learning,Education,505000,1
AdmitHub,Colleges|Education|Information Services,413000,1
Admitly,Education|High Schools|Universities,-,1
AdmitSee,Colleges|Curated Web|Education|Marketplaces|Social Media,2150000,1
Admittedly,Advice|Education|High School Students|Online Education,1340000,1
Adventure to Fitness,Education|Fitness|Health and Wellness|Kids|Recipes,1500000,1
AET Hosting Solutions,Education|Nonprofits|Small and Medium Businesses|Startups,3000000,1
Affero Lab,Corporate Training|Education|Training,13940520,1
Afrimarket,Education|Health and Wellness|P2P Money Transfer,3494416,1
AfterCollege,Education|Employment|Machine Learning,-,1
Afterschool.me,Bridging Online and Offline|K-12 Education|Marketplaces|Parenting,-,1
Age of Learning,EdTech|Education,31500000,1
Agency for Student Health Research,Analytics|Big Data|Databases|EdTech|Education|Health Care Information Technology|Mobile Health|Risk Management|Software,425000,1
AgentPiggy,Education|Finance|Kids,333989,1
Agnitus,Education,3500000,1
Agrilicious.com,Agriculture|Curated Web|Education|Fitness|Health and Wellness|Organic|Subscription Businesses|Sustainability,500000,1
AI Media,Broadcasting|Education|Governments|Social Media,683889,1
Ailola,Education,40000,1
Airscrew,3D Printing|Education,15000,1
Airy Labs,EdTech|Education|Games|Gamification|MMO Games|Social Media,1500000,1
Ajahn,EdTech|Education,100000,1
Akademos,EdTech|Education,5500000,1
Akdemia,Education,322734,1
Albert.io,Education,775000,1
Alchemist Accelerator,Education|Enterprises|SaaS|Services,2100000,1
Alchemy Learning,Corporate Training|Education,277500,1
Aligned Signs,Android|Apps|Communities|Education|iOS|Online Dating|Private Social Networking|Psychology|Self Development|Startups,-,1
All Campus,Education,8344000,1
Allcancode,Education|Educational Games|K-12 Education|Kids|Video Games,43669.7114159904,1
Allclasses,Curated Web|Education|Search|Training,1500000,1
AlleyMag,Apps|Business Services|Cyber Security|Education|Events|Fashion|Finance|Gadget|Games|Internet Marketing|Internet of Things|Legal|Lifestyle|Media|Music|News|Politics|Reviews and Recommendations|Social Media|Startups|Technology|Venture Capital,150000,1
Allovue,Education,1800000,1
offerdunia.in,E-Commerce|Education|Kids|Retail,1500000,1
Alo7,EdTech|Education,-,1
ALOSKO,Education,50000,1
AlphaBeta Labs,Analytics|Automotive|E-Commerce|EdTech|Education|Internet|Payments,40000,1
AlphaSmart,Computers|EdTech|Education,-,1
Altair Prep,Colleges|Education|Testing,-,1
Altierre,Education|Mobile|Wireless,85100000,1
Altius Education,EdTech|Education,26600000,1
AltSchool,Education|Technology,133000000,1
AltusCampus,Medical|Online Education,829234,1
Alumni Labs,All Students|Education|High Schools,20000,1
Always Prepped,Education|Teachers,650000,1
Ambitious Minds,Education,559521,1
Ambow Education,Customer Service|EdTech|Education,167000000,1
Amelox Incorporated,Education|Public Relations,-,1
Ameraki Institute Inc,Application Platforms|Consulting|Corporate Training|Information Technology|Online Education|Outsourcing,20000,1
American Museum of Natural History,Education|Material Science|Non Profit,7500000,1
American Prison Data Systems,Education|Mobile Commerce|Software,3460000,1
AmeriTech College,Education,6800000,1
Amplify,Blogging Platforms|Curated Web|Education|Networking|Social Media,450000,1
AMT,EdTech|Education,7473841,1
Andover College Prep,Education,650000,1
Andover Education,Content Delivery|Education|Knowledge Management,3250000,1
Andrews Education,Education|Sports|Young Adults,1000000,1
Angella Joy,Education,-,1
AntWish Inc,Apps|Education|Mobile,1199137,1
Anyadir Education,Education|Universities,-,1
Aobi Island,Education,4392386,1
Aoi.Co,Education,1200000,1
Apangea Learning,Education|Online Education|Services,4499250,1
Apex Learning,Education,24661724,1
Apollidon,EdTech|Education,3000000,1
Snapask,Big Data Analytics|Education|Mobile|Tutoring,1800000,1
Apple Seeds,Education,150000,1
Applect Learning Systems Pvt. Ltd.,Education,5600000,1
Applyed,EdTech|Education|Technology,34330,1
Applyful,Colleges|Education,100000,1
ApplyKit,Education,98000,1
ApplyMap,Analytics|Big Data|Colleges|Education,90000,1
AppProva,All Students|Education|Games,-,1
ApprenNet,EdTech|Education,1500000,1
Apptegy,Education,250000,1
Aprendum,Education,462157,1
Apreso Classroom,All Students|EdTech|Education,15000000,1
APROOFED,All Students|Colleges|Education|Freelancers|Internet|Marketplaces|Photo Editing,20000,1
MustSee guides,Architecture|Art|Colleges|EdTech|Education|Promotional|Technology|Tourism|Travel|Travel & Tourism|Universities,230000,1
Aristotl,3D|EdTech|Education|Marketplaces|Visualization,25000,1
Aristotle Circle,Education,2450000,1
ARITHMETICI,Education|Software,-,1
Arizona State University,Education|Nonprofits|Universities,1000000,1
Arkansas Department of Education,Education,35000,1
Articulate Technologies,EdTech|Education|Health Care|Kids|Language Learning|Medical|Technology|Therapeutics,996000,1
Artistiya,Art|Artists Globally|Design|Digital Media|Lead Generation|Music Education|Musicians|Performing Arts|Private Social Networking|Reviews and Recommendations|Writers,100000,1
Aspiring Minds,Education,-,1
@Futsal,Educational Games|Online Scheduling|Sports,6204669,1
Athlete Builder,Education|Internet|Mobile|Parenting|Sports|Video,250000,1
Atlas Learning,Apps|Education|Tablets,-,1
Aula 7,Education|Online Education|Video,278197,1
authorGEN,EdTech|Education|Presentations|Software,8700000,1
Authorly,EdTech|Education|Publishing|Writers,640000,1
Autology World,Education,1585972,1
Avangate,Cloud Data Services|E-Books|E-Commerce|E-Commerce Platforms|Financial Services|Incentives|Mobile Commerce|Online Education|SaaS|Software|Storage,7500000,1
Avanse Financial Services,Education,2300000,1
