permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/10-minutes-with,10 Minutes With,http://10minuteswith.com,Education,4400000,operating,GBR,H9,London,London,2,2013-01-01,2013-01-01,2014-10-09
/organization/100e-com,100e.com,http://www.100e.com,Education,4500000,operating,CHN,22,Beijing,Beijing,2,,2006-01-01,2006-09-01
/organization/115-network-disks,115 network disks,http://www.115.com/,EdTech|Education,-,operating,,,,,1,,2011-11-01,2011-11-01
/organization/1234enter,1234ENTER,http://www.1234enter.com.br,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,650267,operating,,,,,2,2012-01-01,2012-09-01,2013-11-22
/organization/17zuoye,17zuoye,http://www.17zuoye.com/,Education|Language Learning,135000000,operating,USA,VA,VA - Other,Shanghai,5,2007-01-01,2011-01-01,2015-02-19
/organization/1calendar,1calendar,http://1calendar.com,Advertising|Education|Internet|Mobile,40000,operating,DNK,17,Copenhagen,Copenhagen,1,2009-01-19,2008-04-04,2008-04-04
/organization/20lines,20lines,http://20lines.com,Curated Web|Education|Parenting|Publishing,1236454,operating,ITA,20,Roncade,Roncade,3,2012-01-01,2012-11-15,2014-06-01
/organization/247-learning-private,24x7 Learning,http://www.24x7learning.com,EdTech|Education|Systems,4000000,operating,IND,19,Bangalore,Bangalore,1,2001-01-01,2007-11-06,2007-11-06
/organization/2u,2U Inc.,http://2u.com,EdTech|Education|Software,95875000,ipo,USA,MD,MD - Other,Hyattsville,6,2008-01-01,2009-03-25,2013-10-21
/organization/360learning,360Learning,http://en.360learning.com/,Communities|Corporate Training|Education,1543920,operating,FRA,A8,Paris,Paris,1,2010-01-01,2013-09-30,2013-09-30
/organization/4soils,4Soils,http://www.4soils.com,Apps|Education|Kids|Religion,50000,operating,USA,CA,SF Bay Area,Stanford,1,2012-01-01,2013-08-26,2013-08-26
/organization/51edu,51edu,http://www.51edu.com/,Education,-,operating,CHN,22,Beijing,Beijing,2,2001-01-01,2006-01-01,2010-01-01
/organization/51talk,51Talk,http://www.51talk.com,Education,65100000,operating,CHN,22,Beijing,Beijing,4,2011-01-01,2011-12-01,2014-10-23
/organization/5min,5min Media,http://www.5minmedia.com,Education|Games|Video,12800000,acquired,USA,NY,New York City,New York,3,2007-01-01,2007-04-01,2009-07-23
/organization/6apt,6APT,http://www.6apt.com/,EdTech|Education,-,operating,CHN,22,Beijing,Beijing,1,,2011-05-01,2011-05-01
/organization/8villages,8villages,http://www.8villages.com,Analytics|Apps|Big Data|E-Commerce|Education|Enterprise Software|Internet of Things|Media|Mobile|Payments|SaaS|Social Media,150000,operating,SGP,,Singapore,Singapore,1,2013-11-28,2013-12-01,2013-12-01
/organization/aba-english,ABA English,http://www.abaenglish.com/en/,EdTech|Education,3356695,operating,ESP,56,Barcelona,Barcelona,1,2007-01-01,2014-07-29,2014-07-29
/organization/abril,Abril,http://www.abril.com.br,Advertising|Digital Media|Education|Media|News|Publishing,422000000,operating,BRA,2,Sao Paulo,São Paulo,1,1950-01-01,2006-05-09,2006-05-09
