permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/1417,1417,http://1417power.com,Finance|Venture Capital,-,operating,USA,TN,Nashville,Brentwood,1,2012-01-12,2015-01-21,2015-01-21
/organization/19pay,19pay,http://www.19pay.com.cn,Finance|FinTech,9478511,operating,CHN,22,Beijing,Beijing,3,2005-01-01,2006-01-01,2013-07-01
/organization/24-7-card,24/7 Card,http://www.247card.com,Finance,3452941,closed,USA,CA,Los Angeles,Los Angeles,3,,2010-10-25,2011-12-21
/organization/27-perry,27 Perry,http://www.27perry.com,E-Commerce|Finance|Marketplaces,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17
/organization/30-second-showcase,30 Second Showcase,http://www.30secondshowcase.com,Apps|Creative|Design|Finance|Mobile|Photography|Software,25000,operating,USA,NJ,Newark,Clifton,1,2013-04-01,2013-05-20,2013-05-20
/organization/312-capital,312 Capital,http://www.312capital.com/,Finance|FinTech,500000,operating,USA,IL,Chicago,Chicago,1,2013-01-23,2014-09-16,2014-09-16
/organization/321lend-inc,"321Lend, Inc.",http://www.321lend.com,FinTech|Peer-to-Peer|Personal Finance|Venture Capital,-,operating,USA,CA,SF Bay Area,San Francisco,1,2014-03-01,2015-02-16,2015-02-16
/organization/360t,360T,http://www.360t.com,Finance|FinTech,-,acquired,DEU,5,Frankfurt,Frankfurt,1,2000-01-01,2012-02-16,2012-02-16
/organization/365-good-teacher,365 Good Teacher,http://www.365hls.com/,Finance,-,operating,,,,,1,,2014-04-01,2014-04-01
/organization/3dt,3DT,http://3dtinc.com/,Finance|Software|Venture Capital,140000,operating,USA,AZ,Phoenix,Scottsdale,1,2014-02-01,2014-08-22,2014-08-22
/organization/40billion-com,40billion.com,http://www.40Billion.com,Crowdfunding|Entrepreneur|Finance|FinTech|Networking|Peer-to-Peer|Social Media|Venture Capital,1050000,operating,USA,GA,Atlanta,Atlanta,3,2008-01-23,2008-04-01,2010-06-01
/organization/50-partners,50 Partners,http://www.50partners.fr,Finance|Incubators|Venture Capital,-,operating,FRA,A8,Paris,Paris,1,2012-07-01,2012-02-01,2012-02-01
/organization/51credit-com,51credit.com,http://www.51credit.com,Finance,10000000,operating,CHN,22,Beijing,Beijing,2,,2006-01-01,2007-07-01
/organization/60mo,60mo,http://60mo.com,Accounting|Business Development|Finance|Software|Web Development,1300000,acquired,GBR,U8,Edinburgh,Edinburgh,3,2009-06-01,2009-06-29,2011-01-19
/organization/6sicuro-it,6sicuro.it,http://6sicuro.it,Finance,3134880,operating,ITA,9,Milan,Milan,1,,2012-03-14,2012-03-14
/organization/6wunderkinder,6Wunderkinder / Wunderlist,https://www.wunderlist.com/home,Android|Apps|Cloud Computing|Collaboration|Email|Finance|Home & Garden|Internet|iOS|iPad|iPhone|Mac|Productivity Software|Software|Synchronization|Task Management|Web Development,23857750,acquired,DEU,,,,5,2010-09-01,2010-12-21,2013-11-12
/organization/7park-data,7Park Data,http://7parkdata.com,Analytics|B2B|Big Data|Business Intelligence|Enterprises|Enterprise Software|Finance|Mobile|SaaS,3000000,operating,USA,NY,New York City,New York,1,2012-01-01,2015-08-26,2015-08-26
/organization/8-securities-limited,8 Securities,http://www.8securities.com,Finance Technology|FinTech|Mobile|Personal Finance|Technology|Wealth Management,17000000,operating,HKG,,Hong Kong,Hong Kong,2,2012-05-21,2012-01-04,2014-08-02
/organization/91datong-com,91datong.com,http://www.91datong.com/,Finance,63590263,operating,CHN,22,Beijing,Beijing,1,,2011-03-01,2011-03-01
/organization/91jinrong,91JinRong,http://91jinrong.com,Curated Web|Finance,19790000,operating,CHN,22,Beijing,Beijing,3,,2011-10-01,2014-06-16
/organization/99-fahrenheit,99 Fahrenheit,,Finance,1380700,closed,ITA,9,Milan,Milan,1,2011-10-01,2011-10-15,2011-10-15
/organization/a-little-world,A LITTLE WORLD,http://alittleworld.com,Finance,6410000,operating,IND,16,Mumbai,Mumbai,1,2000-03-02,2008-09-09,2008-09-09
/organization/aalegal-cash-advance,AALegal Cash Advance,,Finance|Venture Capital,160000,operating,USA,IL,Chicago,Chicago,1,2009-06-16,2013-11-20,2013-11-20
/organization/ab-microfinance-bank-nigeria,AB Microfinance Bank Nigeria,http://ab-mfbnigeria.com,Finance,4900000,operating,NGA,5,Lagos,Lagos,1,,2014-02-19,2014-02-19
/organization/abaris,Abaris,https://www.myabaris.com,Finance|Finance Technology|Financial Services|FinTech|Insurance|Personal Finance|Software,720000,operating,USA,PA,Philadelphia,Philadelphia,2,2014-05-01,2014-07-24,2015-10-20
/organization/abbey-pharma,Abbey Pharma,,Finance|Investment Management|Pharmaceuticals,3355282,operating,,,,,1,2009-01-01,2014-08-11,2014-08-11
/organization/able,Able Lending,https://www.ablelending.com/,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,17500000,operating,USA,TX,Austin,Austin,4,2014-01-01,2011-12-12,2015-08-25
/organization/aboutlife,aboutLife,https://aboutlife.com,Big Data|Consumers|Personal Finance|Retirement,3000000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-01-01,2015-03-12,2015-09-30
/organization/abundance-generation,Abundance Generation,http://abundancegeneration.com,Finance,4545754,operating,GBR,H9,London,London,1,2009-01-01,2013-08-12,2013-08-12
/organization/ac-holdco,AC Holdco,,Business Services|Debt Collecting|Finance,252794435,operating,USA,IL,Chicago,Itasca,3,,2009-04-15,2009-12-08
/organization/acadiasoft,AcadiaSoft,http://www.acadiasoft.com,Finance,34000000,operating,USA,MA,Boston,Pembroke,2,2009-01-01,2010-01-08,2015-07-14
/organization/accelgolf,AccelGolf,http://www.accelgolf.com,Apps|Finance|Mobile|Sports,457282,closed,USA,MA,Boston,Cambridge,7,2008-08-01,2008-01-01,2009-12-04
/organization/access-uk,Access UK,http://www.theaccessgroup.com,Accounting|Advice|Finance|Software,80157014,operating,GBR,E4,,,1,,2011-03-30,2011-03-30
/organization/accesspay,AccessPay,http://www.accesspay.com,Finance,-,operating,GBR,H9,London,London,1,2012-02-01,2014-05-01,2014-05-01
/organization/accountnow,AccountNow,http://accountnow.com,Credit|Finance|Financial Services|Personal Finance,34072000,operating,USA,CA,SF Bay Area,San Ramon,4,2003-01-01,2004-08-09,2008-03-01
/organization/ace-portal,ACE Portal,http://www.ACEportal.com,Finance|FinTech|Marketplaces|Nonprofits,75000,operating,USA,NY,New York City,New York,1,2010-01-01,2011-04-01,2011-04-01
/organization/acheive-cca,Acheive CCA,http://www.achievecca.com,Finance,5000000,closed,USA,IN,Louisville,Evansville,1,,2009-02-17,2009-02-17
/organization/achieve-financial-services,Achieve Financial Services,http://www.achievecard.com,Brand Marketing|Finance|P2P Money Transfer,12500000,operating,USA,TX,Austin,Austin,1,,2012-03-20,2012-03-20
/organization/achieve-lending,Achieve Lending,http://www.achievelending.com/,Finance Technology,50000,operating,USA,NY,New York City,New York,1,2014-01-01,2014-07-31,2014-07-31
/organization/acorns-grow,Acorns,http://www.acorns.com,Apps|Finance|FinTech|Mobile|Technology,31960000,operating,USA,CA,Anaheim,Newport Beach,4,2012-02-29,2012-06-01,2015-04-15
/organization/acrecent-financial,Acrecent Financial,http://acrecent.com,Finance,-,operating,CRI,1,CRI - Other,Guayabo,1,,2014-01-14,2014-01-14
/organization/acrisure,Acrisure,http://acrisure.com,Finance,20000000,operating,USA,MI,Grand Rapids,Grand Rapids,1,2006-01-01,2010-01-29,2010-01-29
/organization/across-america-financial-services,Across America Financial Services,,Finance,20292075,operating,USA,CO,Denver,Greenwood Village,1,2005-01-01,2009-04-07,2009-04-07
/organization/action-auto-sales,Action Auto Sales,http://www.actionautoonline.com/,Finance|Venture Capital,-,operating,USA,CA,CA - Other,Ceres,1,2012-02-02,2014-05-23,2014-05-23
/organization/actionsprout,ActionSprout,http://actionsprout.com/,Facebook Applications|Finance|Social Fundraising,1700000,operating,USA,WA,Seattle,Bellingham,1,,2015-02-11,2015-02-11
/organization/actiontax-ca,ActionTax.ca,http://actiontax.ca/,Finance|Venture Capital,250000,operating,CAN,AB,AB - Other,Fort Mcmurray,1,2010-02-01,2014-01-04,2014-01-04
/organization/activepath,ActivePath,http://www.activepath.com,Finance,13250001,operating,USA,NY,New York City,New York,2,2007-01-01,2011-09-19,2012-11-30
/organization/adayana,Adayana,http://www.adayana.com,Finance|FinTech,20000000,operating,USA,IN,Indianapolis,Indianapolis,1,2001-01-01,2007-07-04,2007-07-04
/organization/addepar,Addepar,http://www.addepar.com,Finance|SaaS,65839694,operating,USA,CA,SF Bay Area,Mountain View,3,2009-01-01,2011-06-15,2014-05-12
/organization/adhusky,Adhusky,http://www.adhusky.com/,Automated Kiosk|Finance|Financial Services,30000,operating,USA,CA,SF Bay Area,San Francisco,2,,2015-01-01,2015-03-01
/organization/admi-holdings,ADMI Holdings,,Finance|Investment Management,367645000,operating,USA,CA,Los Angeles,Los Angeles,1,2010-01-01,2010-10-20,2010-10-20
/organization/advantage-capital-management,Advantage Capital Management,,Finance|Venture Capital,-,operating,USA,MI,Lansing,Okemos,1,2011-03-01,2014-08-20,2014-08-20
/organization/advice-hub,AdviseHub,http://advisehub.com/,Finance Technology|FinTech|Legal|Wealth Management,-,operating,USA,CA,SF Bay Area,Sunnyvale,1,,2014-06-13,2014-06-13
/organization/adviceiq,AdviceIQ,http://www.adviceiq.com,Finance,5000000,operating,USA,NY,New York City,New York,2,2012-01-01,2013-04-08,2013-09-23
/organization/adviesmanager-nl,Adviesmanager.nl,http://www.adviesmanager.nl,Finance|Incentives,12989,operating,NLD,4,Groningen,Groningen,1,2010-09-15,2010-09-15,2010-09-15
/organization/advise-only,Advise Only,http://www.adviseonly.com,Finance|Investment Management|Social Network Media|Stock Exchanges|Wealth Management,1313100,operating,ITA,9,Milan,Milan,1,2010-03-24,2012-05-02,2012-05-02
/organization/advisorconnect,advisorCONNECT,http://www.advisorconnect.co/,Enterprise Software|Finance Technology|Financial Services|Insurance Companies|Social Media,550000,operating,USA,NY,New York City,Brooklyn,1,,2015-06-02,2015-06-02
/organization/advisoryhq,AdvisoryHQ,http://www.advisoryhq.com/,Finance|Internet|Media|News,25000,operating,USA,NY,New York City,New York,1,2015-01-08,2015-01-05,2015-01-05
/organization/advize,ADVIZE,http://www.advize.fr,Brokers|Consulting|Finance|Finance Technology|FinTech|Insurance|Trading,736050,operating,FRA,A8,Paris,Boulogne-billancourt,1,2011-11-01,2008-01-01,2008-01-01
/organization/adyapper-com,AdYapper,http://www.adyapper.com,Advertising|Analytics|Finance|Sales and Marketing,6700000,operating,USA,IL,Chicago,Chicago,3,2010-06-01,2013-09-05,2015-07-13
/organization/aegis-asset-backed-securities,Aegis Asset Backed Securities,http://www.aegis-funding.com,Finance,2500000,operating,USA,CA,Anaheim,Huntington Beach,1,2014-07-28,2015-01-19,2015-01-19
/organization/affinity-china,Affinity China,http://www.affinitychina.com,E-Commerce|Finance|Lifestyle|Tourism|Travel,1300000,operating,CHN,23,Shanghai,Shanghai,3,2010-01-01,2011-09-07,2013-11-01
/organization/affinity-financial-corporation,Affinity Financial Corporation,,Finance|Financial Services,11000000,operating,USA,CA,Anaheim,Newport Beach,2,1996-01-01,2006-02-16,2008-04-28
/organization/affinity-solutions,Affinity Solutions,http://affinitysolutions.com,Finance,35500000,operating,USA,NY,New York City,New York,3,1998-01-01,2011-07-27,2013-06-10
/organization/affirm,Affirm,http://affirm.com,Finance Technology|Financial Services|FinTech|Payments,320000000,operating,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2014-06-09,2015-05-06
/organization/afluenta,Afluenta,http://www.afluenta.com,Consumer Lending|Finance|FinTech|Peer-to-Peer,2775000,operating,ARG,7,Buenos Aires,Buenos Aires,3,2012-08-01,2011-07-01,2015-05-11
/organization/agea,Agea,,Commodities|Finance|Financial Services,12200000,operating,MNE,,MNE - Other,Podgorica,1,,2001-11-05,2001-11-05
/organization/agentpiggy,AgentPiggy,http://agentpiggy.com,Education|Finance|Kids,333989,operating,CHL,12,Santiago,Santiago,5,2012-03-01,2011-07-25,2013-08-01
/organization/agile,Agile,http://www.agile-ft.com,Finance|Finance Technology|FinTech|Insurance,5740000,operating,IND,16,Mumbai,Mumbai,1,,2011-05-01,2011-05-01
/organization/agilequant-sp--z-o-o-,AgileQuant Sp. z o.o.,http://www.trendsinvesting.com,Finance|Investment Management|Stock Exchanges,273107,operating,,,,,1,2014-01-09,2014-02-14,2014-02-14
/organization/ai-exchange,AI Exchange,http://www.aiexchange.com,Finance|FinTech,1500000,closed,USA,MA,Boston,Boston,1,,2011-09-13,2011-09-13
/organization/aire,Aire,http://aire.io,Algorithms|Artificial Intelligence|Credit|Finance Technology|FinTech|Machine Learning,1400000,operating,GBR,H9,London,London,2,2014-01-14,2014-06-16,2015-01-30
/organization/akimbo-financial,Akimbo Financial,http://akimbocard.com,Banking|Finance|Mobile|Payments|Peer-to-Peer,850000,acquired,USA,TX,San Antonio,San Antonio,2,2010-01-22,2012-05-24,2013-05-13
/organization/akoubacredit,AkoubaCredit,https://akoubacredit.com/,Business Intelligence|Finance|Investment Management,118000,operating,USA,IL,Chicago,Chicago,1,2014-01-01,2015-07-06,2015-07-06
/organization/akredo,Akredo,http://www.akredo.pl,Financial Services|Personal Finance,818499.900627467,operating,POL,78,Warsaw,Warsaw,3,2014-06-10,2014-03-25,2015-11-24
/organization/alantos,Alantos,,Business Services|Finance,38802162,operating,,,,,1,,2003-02-01,2003-02-01
/organization/alaris-royalty,Alaris Royalty,http://alarisroyalty.com,Finance,105900000,closed,CAN,AB,Calgary,Calgary,1,,2013-07-16,2013-07-16
/organization/aldera,Aldera,http://www.aldera.com,Finance|Health Care,14000000,operating,USA,NY,NY - Other,Lisle,1,2002-01-01,2013-06-05,2013-06-05
/organization/alekto,Alekto,http://www.alekto.co,Credit|Finance,50000,closed,USA,NC,Raleigh,Durham,1,2012-07-01,2012-08-27,2012-08-27
/organization/all-protector-agency-llc,All Protector Agency,http://www.allprotectoragency.com/,Finance|Venture Capital,-,operating,USA,NJ,Newark,Howell,1,2012-01-04,2013-03-23,2013-03-23
