permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/0ndine-biomedical-inc,Ondine Biomedical Inc.,http://ondinebio.com,Biotechnology,762851,operating,CAN,BC,Vancouver,Vancouver,2,1997-01-01,2009-09-11,2009-12-21
/organization/1-800-dentist,1-800-DENTIST,http://www.1800dentist.com,Health and Wellness,-,operating,USA,CA,Los Angeles,Los Angeles,1,1986-01-01,2010-08-19,2010-08-19
/organization/1-800-doctors,1-800-DOCTORS,http://1800doctors.com,Health and Wellness,1750000,operating,USA,NJ,Newark,Iselin,1,1984-01-01,2011-03-02,2011-03-02
/organization/100health,Redox,http://www.redoxengine.com,Health Care|Health Care Information Technology|Hospitals,4000000,operating,USA,WI,Madison,Madison,2,2014-07-04,2014-11-26,2015-10-20
/organization/10x-genomics,10X Genomics,http://10xgenomics.com,Biotechnology|Technology,55000000,operating,USA,CA,SF Bay Area,Pleasanton,1,2012-01-01,2015-01-12,2015-01-12
/organization/10x-technologies,10X Technologies,http://10xtechnologies.com,Biotechnology,3550000,operating,USA,CA,SF Bay Area,Oakland,2,2012-01-01,2012-11-07,2015-01-12
/organization/11-health,11 Health,http://www.11health.com,Health and Wellness,1958909,operating,GBR,H9,London,London,1,,2015-08-20,2015-08-20
/organization/12-labs,12 Labs,http://www.getapplause.com/,Health and Wellness|Personal Health,935000,operating,USA,CA,SF Bay Area,Palo Alto,1,2014-08-01,2014-11-26,2014-11-26
/organization/1commmedical,1CommMedical,http://1commmedical.com,Health Care|Insurance|Medical,2500000,operating,USA,IA,Des Moines,Ankeny,1,2013-01-01,2015-04-27,2015-04-27
/organization/1doc3,1doc3,http://www.1doc3.com,Health and Wellness|Health Care|Internet|SMS,37639,operating,COL,34,Bogota,Bogotá,1,2013-11-01,2014-05-21,2014-05-21
/organization/1docway,1DocWay,http://1docway.com,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,1700000,acquired,USA,NY,New York City,New York,2,2011-02-01,2011-08-10,2015-07-21
/organization/1eq,Babyscripts,http://www.getbabyscripts.com,Health and Wellness|Mobile Health,2100000,operating,USA,DC,"Washington, D.C.",Washington,3,2013-03-08,2013-03-11,2015-04-10
/organization/1life-healthcare,1Life Healthcare,http://www.1life.com,Health and Wellness|Health Care|Services,30000000,operating,USA,CA,SF Bay Area,San Francisco,1,2002-01-01,2013-03-21,2013-03-21
/organization/2-observe,2-Observe,http://www.2-observe.be/,Design|Health and Wellness|Health Care|Hospitals|Medical Devices,204189,operating,BEL,4,BEL - Other,Ferrières,1,2010-01-01,2014-06-25,2014-06-25
/organization/20-20-gene-systems-inc,20/20 Gene Systems Inc.,http://2020gene.com,Biotechnology|Health Diagnostics,4345427,operating,USA,MD,"Washington, D.C.",Rockville,3,2000-05-01,2012-09-25,2015-10-30
/organization/21st-century-oncology,21st Century Oncology,http://21stcenturyoncology.com,Health and Wellness,325000000,operating,USA,FL,Fort Myers,Fort Myers,1,,2014-09-26,2014-09-26
/organization/22nd-century-group,22nd Century Group,http://www.xxiicentury.com,Biotechnology,15034750,ipo,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18
/organization/23andme,23andMe,http://23andme.com,Biotechnology|Search,227049900,operating,USA,CA,SF Bay Area,Mountain View,8,2006-04-01,2005-11-02,2015-07-03
/organization/2morrow-mobile,2Morrow Inc,http://www.2morrowinc.com,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,300000,operating,USA,WA,Seattle,Kirkland,2,2012-01-01,2014-05-15,2015-03-16
/organization/2nd-chance-solutions,2nd Chance Solutions,,Health and Wellness,-,operating,USA,IL,Chicago,Lockport,1,2015-01-31,2015-01-11,2015-01-11
/organization/3-v-biosciences,3-V Biosciences,http://www.3vbio.com,Biotechnology,128477567,operating,USA,CA,SF Bay Area,Menlo Park,7,2007-03-01,2007-05-22,2015-03-17
/organization/360guanxi,360Guanxi,http://www.360guanxi.com/index.html,Biotechnology|Life Sciences|Media|News|Pharmaceuticals,5000000,operating,CHN,23,Shanghai,Shanghai,1,2000-01-01,2009-06-01,2009-06-01
/organization/360imaging,360imaging,http://www.360imaging.com,Biotechnology|Dental,1000000,operating,USA,GA,Atlanta,Atlanta,2,2005-01-01,2011-11-01,2013-01-01
/organization/39-health,39 Health,http://corp.39.net,Health and Wellness,3750000,operating,CHN,30,Guangzhou,Guangzhou,2,,2006-03-01,2007-03-01
/organization/3ci,3CI,http://www.3ci.bz.it/en-US/Products.html,Biotechnology,133620,operating,ITA,6,Bolzano,Bolzano,1,2008-01-01,2011-01-01,2011-01-01
/organization/3clickemr-corporation,3ClickEMR Corporation,http://www.3clickemr.com,Consumer Electronics|Electronic Health Records|Health Care|iPad|Software,500000,closed,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06-23,2011-06-01
/organization/3d-biomatrix,3D Biomatrix,http://3dbiomatrix.com,Biotechnology,1465000,operating,USA,MI,Detroit,Ann Arbor,2,2010-01-01,2009-10-05,2013-02-05
/organization/3d-operations-inc,"3D Operations, Inc.",http://www.3dops.co,3D Printing|Health and Wellness|Health Care,7500,operating,USA,TN,Chattanooga,Chattanooga,1,2014-06-18,2014-05-15,2014-05-15
/organization/3d4medical-com,3D4Medical.com,http://applications.3d4medical.com,Health Care,16399999,operating,IRL,7,Dublin,Dublin,1,2004-01-01,2015-07-07,2015-07-07
/organization/3dr-laboratories,3DR Laboratories,http://www.3drinc.com,Biotechnology,7436500,operating,USA,KY,Louisville,Louisville,2,,2009-05-29,2012-08-23
/organization/3p-biopharmaceuticals,3P Biopharmaceuticals,http://www.3pbio.com,Biotechnology|Pharmaceuticals,4783500,operating,ESP,32,,,2,,2007-06-29,2008-02-05
/organization/3scan,3Scan,http://www.3scan.com,Biotechnology,7063012,operating,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-08-31,2014-12-05
/organization/480-biomedical,480 Biomedical,http://www.480biomedical.com,Biotechnology,49656999,operating,USA,MA,Boston,Watertown,5,2011-01-01,2012-02-14,2015-06-19
/organization/4d-molecular-therapeutics,4D Molecular Therapeutics,http://www.4dmoleculartherapeutics.com,Biotechnology,6999995,operating,USA,CA,SF Bay Area,Emeryville,1,2013-01-01,2015-08-13,2015-08-13
/organization/4deep,4Deep,http://4-deep.com/,Biotechnology,500000,operating,CAN,NS,Halifax,Halifax,1,2008-01-01,2015-11-20,2015-11-20
/organization/4tech,4Tech,,Biotechnology,7000000,operating,USA,MA,Boston,Waltham,1,2011-01-01,2011-12-21,2011-12-21
/organization/6sensor-labs,6SensorLabs,http://www.6sensorlabs.com/,Health and Wellness|Specialty Foods,8000000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-10-01,2014-09-11,2014-09-12
/organization/7-cups-of-tea,7 Cups of Tea,http://www.7cups.com,Health and Wellness|Health Care|Health Services Industry,-,operating,USA,VA,Norfolk - Virginia Beach,Virginia Beach,2,2013-01-01,2013-03-01,2013-09-01
/organization/7-oaks-pharmaceutical,7 Oaks Pharmaceutical,http://bensalhprx.com,Biotechnology,1613014,operating,USA,SC,Greenville - Spartanburg,Easley,1,1997-01-01,2011-06-06,2011-06-06
/organization/720,720°,http://720.fi,Analytics|Health and Wellness|Predictive Analytics,190035,operating,FIN,13,Helsinki,Espoo,1,2012-01-01,2014-10-23,2014-10-23
/organization/7tm-pharma,7TM Pharma,,Biotechnology|Diabetes|Therapeutics,22000000,operating,,,,,1,,2007-06-12,2007-06-12
/organization/80th-street-residence-facc-fund-i,80th Street Residence FACC Fund I,,Health and Wellness,5100000,operating,USA,CA,Anaheim,Newport Beach,1,2011-01-01,2011-11-18,2011-11-18
/organization/a-better-tomorrow-treatment-center,A Better Tomorrow Treatment Center,,Health and Wellness,-,operating,USA,CA,Ontario - Inland Empire,Murrieta,1,2004-01-01,2014-01-10,2014-01-10
/organization/a-d-a-m-inc,A.D.A.M INC,http://www.adam.com/,Health and Wellness|Health Care|Healthcare Services|Medical|Technology,6000000,operating,,,,,1,1990-01-01,2000-01-31,2000-01-31
/organization/a-family-first-community-services,A Family First Community Services,http://affcs.net,Health and Wellness,500000,operating,USA,GA,Atlanta,Atlanta,1,2008-01-01,2011-11-01,2011-11-01
/organization/a-g-pharmaceutical,A&G Pharmaceutical,http://www.agpharma.com,Biotechnology,2100002,operating,USA,MD,Baltimore,Columbia,2,,2005-09-08,2010-04-27
/organization/a-life-medical,A-Life Medical,http://www.alifemedical.com,Biotechnology,3000000,acquired,USA,CA,San Diego,San Diego,1,,2009-06-03,2009-06-03
/organization/a-p-pharma,A.P.Pharma,http://appharma.com,Biotechnology,32142818,operating,USA,CA,SF Bay Area,Redwood City,2,,2009-11-05,2011-07-11
/organization/a-vu-media,A-Vu Media,http://www.avumedia.com,Health and Wellness,250000,operating,USA,MN,Minneapolis,Minnetonka,1,,2011-03-07,2011-03-07
/organization/aaipharma-services,AAIPharma Services,http://www.aaipharma.com,Biotechnology,20000000,operating,USA,NC,"Wilmington - Cape Fear, North Carolina",Wilmington,1,1979-01-01,2012-01-11,2012-01-11
/organization/aarden-pharmaceuticals,Aarden Pharmaceuticals,http://aardenpharma.com,Biotechnology,500000,closed,USA,IN,Indianapolis,Indianapolis,1,2008-01-01,2011-01-03,2011-01-03
/organization/aastrom-biosciences,Aastrom Biosciences,http://www.aastrom.com,Biotechnology,40000000,ipo,USA,MI,Detroit,Ann Arbor,1,1989-01-01,2012-03-09,2012-03-09
/organization/aavlife,AAVLife,http://aavlife.com,Health Care Information Technology|Medical|Therapeutics,12000000,operating,FRA,A8,Paris,Paris,1,,2014-04-15,2014-04-15
/organization/aavya-health,Aavya Health,http://dev.aavya.com/login,Health and Insurance|Health and Wellness|Health Care Information Technology|Retail,-,operating,USA,MA,Boston,Boston,1,,2012-08-01,2012-08-01
/organization/abattis-bioceuticals,Abattis Bioceuticals,http://abattis.com,Biotechnology,400988,ipo,CAN,BC,Vancouver,Vancouver,3,1997-09-29,2010-11-03,2014-04-07
/organization/abbott,Abbott Labs,http://www.abbott.com,Biotechnology|Health and Wellness|Medical|Venture Capital,6790000,ipo,USA,IL,Chicago,Des Plaines,2,1991-01-01,2009-03-16,2011-03-15
/organization/abcam,Abcam,http://abcam.com,Biotechnology|Events,78799653,operating,GBR,C3,London,Cambridge,2,1998-01-01,2011-06-08,2012-04-27
/organization/abcelex-technologies,AbCelex Technologies,http://www.abcelex.com/,Biotechnology,2000000,operating,CAN,ON,Toronto,Mississauga,1,2010-01-01,2014-04-28,2014-04-28
/organization/abcellute,Abcellute,http://www.abcellute.com,Biotechnology,805908,closed,GBR,H9,London,London,1,2001-01-01,2007-09-21,2007-09-21
/organization/abcodia,Abcodia,http://abcodia.com,Biotechnology,10207905,operating,GBR,H9,London,London,4,2010-01-01,2011-05-25,2015-05-18
/organization/abeo,abeo,http://abeo.com,Health Care,2012700,operating,USA,TX,Dallas,Dallas,1,,2011-11-30,2011-11-30
/organization/abeona-therapeutics,Abeona Therapeutics,http://abeonatherapeutics.com,Biotechnology,12850000,operating,USA,OH,Cleveland,Cleveland,3,2013-01-01,2013-12-16,2015-07-28
/organization/abgenomics,AbGenomics,http://abgenomics.com,Biotechnology,39610000,operating,USA,CA,SF Bay Area,Los Altos,3,2000-06-01,2012-06-19,2014-08-27
/organization/abide-therapeutics,Abide Therapeutics,http://abidetx.com,Biotechnology,2250180,operating,USA,NJ,Newark,Princeton,1,2011-01-01,2011-11-18,2011-11-18
/organization/abidoc,AbiDoc,http://www.abidoc.com,Doctors|Health Care|Health Diagnostics,1833333,closed,,,,,2,,2012-10-17,2014-02-04
