permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/1-2-3-listo,"1,2,3 Listo",http://www.123listo.com,E-Commerce,40000,operating,CHL,12,Santiago,Las Condes,1,2012-01-01,2013-02-18,2013-02-18
/organization/10-20-media,10-20 Media,http://www.10-20media.com,E-Commerce,2050000,operating,USA,MD,Baltimore,Woodbine,4,2001-01-01,2009-06-18,2011-12-28
/organization/1000-markets,1000 Markets,http://www.1000markets.com,Art|E-Commerce|Marketplaces,500000,acquired,USA,WA,Seattle,Seattle,1,2009-01-01,2009-05-15,2009-05-15
/organization/10alike,Cliptone,http://www.cliptone.me/,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,-,operating,CAN,ON,Toronto,Toronto,2,2012-03-03,2013-01-01,2014-01-01
/organization/10sec,10sec,https://10s.ec/,E-Commerce|Mobile Commerce|Social Commerce,1600000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-07-08,2013-10-31,2014-05-08
/organization/1234enter,1234ENTER,http://www.1234enter.com.br,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,650267,operating,,,,,2,2012-01-01,2012-09-01,2013-11-22
/organization/123contactform,123ContactForm,http://www.123contactform.com,E-Commerce|SaaS,1000000,operating,ROM,36,Timisoara,Timisoara,2,2008-01-01,2010-01-01,2015-06-16
/organization/12society,12Society,http://www.12Society.com,E-Commerce,-,acquired,USA,CA,Los Angeles,West Hollywood,1,2012-01-01,2012-04-05,2012-04-05
/organization/139shop,139shop,http://www.139shop.com,E-Commerce,-,operating,CHN,,,,1,,2007-02-01,2007-02-01
/organization/140-proof,140 Proof,http://140proof.com,Advertising|Big Data Analytics|Interest Graph,5500000,operating,USA,CA,SF Bay Area,San Francisco,2,2010-01-11,2009-07-01,2011-04-28
/organization/140fire,140Fire,http://140fire.com,Advertising|Entertainment|Real Time|Social Media|Sports|Video,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-05-05,2010-05-05
/organization/180solutions,180Solutions,,Advertising|Advertising Platforms|Promotional,40000000,closed,USA,WA,Seattle,Bellevue,1,,2004-04-05,2004-04-05
/organization/1calendar,1calendar,http://1calendar.com,Advertising|Education|Internet|Mobile,40000,operating,DNK,17,Copenhagen,Copenhagen,1,2009-01-19,2008-04-04,2008-04-04
/organization/1daymakeover,1DayMakeover,http://www.1daymakeover.com,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,50000,closed,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30
/organization/1jiajie,1jiajie,http://www.1jiajie.com,E-Commerce,4163132,operating,CHN,22,Beijing,Beijing,2,,2013-09-01,2014-09-16
/organization/1ring,1Ring,http://www.1ring.com,Advertising|Contests|Curated Web|Games|Mobile|Music|News|Sales and Marketing|Startups|Television,-,operating,,,,,1,2009-05-01,2011-02-21,2011-02-21
/organization/1stdibs,1stdibs,http://www.1stdibs.com,E-Commerce,117000000,operating,USA,NY,New York City,New York,5,2001-01-01,2011-11-03,2015-09-09
/organization/1stgig-com,1stGig.com,http://www.1stgig.com,E-Commerce,750000,operating,USA,NY,"Albany, New York",Saratoga Springs,1,2009-08-01,2012-10-01,2012-10-01
/organization/20x200,20x200,http://www.20x200.com,Art|E-Commerce|Social Commerce,2800000,operating,USA,NY,New York City,New York,2,2007-09-01,2009-10-01,2010-08-01
/organization/2100b-com-llc,2100b Sausalito LLC.,http://2100b.com,Advertising|Direct Marketing|Social Media,50000,closed,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01
/organization/21diamonds-india,21Diamonds,http://www.21diamonds.de,E-Commerce,6369507,operating,IND,10,New Delhi,Gurgaon,1,2012-06-01,2012-11-15,2012-11-15
/organization/24h00,24h00,http://www.boosket.com/,Advertising|E-Commerce|Marketing Automation,-,closed,FRA,A8,Paris,Paris,1,2006-01-01,2006-08-01,2006-08-01
/organization/27-perry,27 Perry,http://www.27perry.com,E-Commerce|Finance|Marketplaces,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17
/organization/2adpro-media-solutions,2AdPro Media Solutions,http://www.2adpro.com,Ad Targeting|Advertising|Advertising Platforms|Design|Digital Media|Marketing Automation|Mobile Advertising|SaaS|Web Design,-,operating,USA,CA,Los Angeles,Woodland Hills,1,2006-09-01,2008-03-31,2008-03-31
/organization/2c2p,2C2P,http://www.2c2p.com,E-Commerce|Mobile Commerce|Payments|Software,10000000,operating,SGP,,,,3,2003-01-01,2011-01-01,2015-04-27
/organization/2checkout-com,2Checkout,http://www.2checkout.com,E-Commerce,72000000,operating,USA,OH,"Columbus, Ohio",Columbus,2,1999-01-01,2014-07-16,2015-09-15
/organization/2duche,2Duche,http://www.2duche.com,E-Commerce,-,operating,CHN,23,Shanghai,Shanghai,2,,2006-06-01,2010-08-01
